time,high
8882,1.06525
8883,1.06523
8884,1.0649
8885,1.0652
8886,1.0654
8887,1.06584
8888,1.06641
8889,1.06606
8890,1.0663
8891,1.06601
8892,1.0659
8893,1.06603
8894,1.06636
8895,1.06576
8896,1.06508
8897,1.06421
8898,1.06362
8899,1.06478
8900,1.06503
8901,1.06603
8902,1.06575
8903,1.06341
8904,1.06345
8905,1.06362
8906,1.06342
8907,1.06073
8908,1.06053
8909,1.0609
8910,1.06103
8911,1.06123
8912,1.06217
8913,1.06248
8914,1.0625
8915,1.06246
8916,1.06245
8917,1.0628
8918,1.0624
8919,1.06178
8920,1.06064
8921,1.06016
8922,1.06043
8923,1.06191
8924,1.06208
8925,1.06166
8926,1.06087
8927,1.05982
8928,1.0586
8929,1.0593
8930,1.0603
8931,1.06031
8932,1.06031
8933,1.0599
8934,1.06016
8935,1.06066
8936,1.06144
8937,1.06067
8938,1.06052
8939,1.06015
8940,1.06022
8941,1.06022
8942,1.05984
8943,1.05958
8944,1.0593
8945,1.05961
8946,1.05903
8947,1.05797
8948,1.05761
8949,1.05607
8950,1.05596
8951,1.056
8952,1.05588
8953,1.0555
8954,1.05546
8955,1.05554
8956,1.0549
8957,1.0563
8958,1.0584
8959,1.0584
8960,1.0577
8961,1.0571
8962,1.05429
8963,1.05504
8964,1.05476
8965,1.05518
8966,1.05485
8967,1.05549
8968,1.0556
8969,1.0561
8970,1.056
8971,1.0555
8972,1.05495
8973,1.0551
8974,1.05481
8975,1.05528
8976,1.0562
8977,1.05588
8978,1.0569
8979,1.05693
8980,1.05662
8981,1.05831
8982,1.0595
8983,1.06197
8984,1.06042
8985,1.06021
8986,1.06077
8987,1.06128
8988,1.06095
8989,1.06102
8990,1.0612
8991,1.0611
8992,1.0615
8993,1.06102
8994,1.05989
8995,1.05962
8996,1.0593
8997,1.0591
8998,1.05928
8999,1.05965
